,user_id,gender,nationality,age,french,chinese,jpan,italian,greek,indian,spain,lebanan,moroccan,turkish,thai,preferences
0,14567,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'BURGER']"
0,14567,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'BURGER']"
0,14567,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'BURGER']"
0,14573,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14573,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14573,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14573,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14574,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
0,14574,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
0,15001,Male,Peru,34,0,0,0,0,0,0,0,1,0,0,0,"['RED MEAT', 'PASTA']"
0,15001,Male,Peru,34,0,0,0,0,0,0,0,1,0,0,0,"['RED MEAT', 'PASTA']"
0,15002,Female,Kuwait,34,0,0,1,0,0,0,0,1,0,0,0,"['RED MEAT', 'PASTA']"
0,15002,Female,Kuwait,34,0,0,1,0,0,0,0,1,0,0,0,"['RED MEAT', 'PASTA']"
0,15001,Female,Kyrgyzstan,33,0,0,0,0,0,0,0,0,0,1,0,['PASTA']
0,15002,Male,Italy,26,0,0,0,0,0,0,0,0,0,0,1,['BURGER']
0,15001,Female,Italy,25,0,0,0,0,0,0,0,0,0,1,0,['PASTA']
0,15002,Male,Lebanon,34,0,0,0,0,0,0,0,0,0,0,1,['SALAD']
0,16001,Female,Italy,34,0,0,0,0,0,0,0,0,0,1,0,['PASTA']
0,16002,Male,Kuwait,43,0,0,0,0,1,0,0,0,0,0,0,['BURGER']
0,14619,Male,Italy,25,1,0,0,0,0,0,0,0,0,0,0,['PASTA']
0,14620,Male,Lebanon,31,0,0,0,0,0,0,0,0,0,0,1,['BURGER']
0,14637,Male,Kenya,33,1,0,0,0,0,0,0,0,0,0,0,['PASTA']
0,14636,Male,Kuwait,32,0,0,0,0,1,0,0,0,0,0,0,['BURGER']
0,14720,Male,Iran,33,1,0,0,1,1,0,1,1,1,1,0,"['RED MEAT', 'PASTA']"
0,14720,Male,Iran,33,1,0,0,1,1,0,1,1,1,1,0,"['RED MEAT', 'PASTA']"
0,14805,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,['PIZZA']
0,14809,Male,Iran,33,1,0,0,1,1,0,1,1,1,1,0,"['RED MEAT', 'PASTA']"
0,14809,Male,Iran,33,1,0,0,1,1,0,1,1,1,1,0,"['RED MEAT', 'PASTA']"
0,14808,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'SOUP', 'RICE', 'SALAD']"
0,14808,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'SOUP', 'RICE', 'SALAD']"
0,14808,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'SOUP', 'RICE', 'SALAD']"
0,14808,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'SOUP', 'RICE', 'SALAD']"
0,14808,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'SOUP', 'RICE', 'SALAD']"
0,14808,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'SOUP', 'RICE', 'SALAD']"
0,14812,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'CHINESE NOODLE']"
0,14812,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'CHINESE NOODLE']"
0,14814,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'SOUP', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14814,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'SOUP', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14814,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'SOUP', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14814,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'SOUP', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14814,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'SOUP', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14814,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'SOUP', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14700,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14700,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14700,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14700,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14700,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14700,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14700,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
