,Unnamed: 0,user_id,gender,nationality,age,french,chinese,jpan,italian,greek,indian,spain,lebanan,moroccan,turkish,thai,preferences
0,0,14567,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'BURGER']"
3,0,14573,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
7,0,14574,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
9,0,15001,Male,Peru,34,0,0,0,0,0,0,0,1,0,0,0,"['RED MEAT', 'PASTA']"
11,0,15002,Female,Kuwait,34,0,0,1,0,0,0,0,1,0,0,0,"['RED MEAT', 'PASTA']"
17,0,16001,Female,Italy,34,0,0,0,0,0,0,0,0,0,1,0,['PASTA']
18,0,16002,Male,Kuwait,43,0,0,0,0,1,0,0,0,0,0,0,['BURGER']
19,0,14619,Male,Italy,25,1,0,0,0,0,0,0,0,0,0,0,['PASTA']
20,0,14620,Male,Lebanon,31,0,0,0,0,0,0,0,0,0,0,1,['BURGER']
21,0,14637,Male,Kenya,33,1,0,0,0,0,0,0,0,0,0,0,['PASTA']
22,0,14636,Male,Kuwait,32,0,0,0,0,1,0,0,0,0,0,0,['BURGER']
23,0,14720,Male,Iran,33,1,0,0,1,1,0,1,1,1,1,0,"['RED MEAT', 'PASTA']"
25,0,14805,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,['PIZZA']
26,0,14809,Male,Iran,33,1,0,0,1,1,0,1,1,1,1,0,"['RED MEAT', 'PASTA']"
28,0,14808,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'SOUP', 'RICE', 'SALAD']"
34,0,14812,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'CHINESE NOODLE']"
36,0,14814,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'SOUP', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
42,0,14700,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
49,0,14762,Female,Bosnia,19,1,1,1,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'PASTA']"
54,0,14869,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
58,0,14639,Male,Bosnia,20,0,0,1,1,0,0,1,0,0,0,0,"['PIZZA', 'PASTA']"
60,0,14644,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'RICE', 'SALAD']"
65,0,14645,Female,Bosnia,20,0,1,1,1,0,0,0,0,0,0,0,"['PIZZA', 'CHINESE NOODLE']"
67,0,14745,Male,Germany,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'BURGER']"
69,0,14728,Male,Bosnia,20,0,0,1,1,0,0,1,0,0,1,0,"['PIZZA', 'PASTA']"
71,0,14791,Female,Bosnia,20,0,0,1,1,0,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
73,0,14730,Male,Bosnia,21,0,0,0,1,1,0,0,0,0,0,0,"['RED MEAT', 'BURGER']"
75,0,14640,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'CHINESE NOODLE']"
77,0,14792,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'RICE', 'SALAD']"
82,0,14750,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
86,0,14656,Male,Bosnia,21,1,0,0,0,0,1,0,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'BURGER']"
89,0,14698,Female,Bosnia,20,0,0,0,0,0,0,0,0,1,1,0,"['FISH', 'RED MEAT']"
91,0,14729,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'CHINESE NOODLE']"
93,0,14681,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
97,0,14692,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
99,0,14923,Male,Bosnia,22,1,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RICE']"
101,0,14670,Female,Bosnia,20,1,0,0,1,0,0,1,0,0,1,0,"['WHITE MEAT', 'SALAD']"
103,0,14906,Male,Bosnia,22,1,0,0,1,0,0,0,0,0,1,0,"['SOUP', 'PIZZA']"
105,0,14932,Male,Bosnia,19,0,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'RICE', 'BURGER']"
109,0,14643,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
111,0,14905,Male,Bosnia,19,0,1,1,1,0,0,1,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'RICE', 'BURGER', 'PASTA']"
116,0,14659,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'PASTA']"
118,0,14710,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'PASTA']"
120,0,14769,Male,Italy,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
122,0,14657,Male,Bosnia,20,0,0,0,1,1,0,0,0,0,1,0,"['RED MEAT', 'PASTA']"
124,0,14707,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
126,0,14782,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
128,0,14770,Female,Bosnia,20,0,0,0,0,0,1,1,0,0,1,0,"['SALAD', 'PASTA']"
130,0,14683,Female,Bosnia,20,0,0,0,1,0,1,1,0,0,1,0,"['SALAD', 'PASTA']"
132,0,14772,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PASTA']"
134,0,14684,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
136,0,14682,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA']"
138,0,14734,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SOUP', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
144,0,14743,Female,Bosnia,18,0,0,1,0,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT']"
146,0,14773,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'SALAD', 'PASTA']"
150,0,14695,Male,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'BURGER']"
152,0,14702,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
157,0,14701,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'SALAD', 'PASTA']"
161,0,14703,Female,Bosnia,20,0,0,0,1,0,0,1,0,0,0,0,"['PIZZA', 'PASTA']"
163,0,14688,Male,Italy,19,0,0,1,1,0,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
165,0,14751,Male,Germany,18,0,0,0,1,1,0,0,0,0,0,0,"['RED MEAT', 'PASTA']"
167,0,14756,Female,Serbia,23,0,0,1,0,0,1,0,0,0,0,0,"['WHITE MEAT', 'RICE']"
169,0,14709,Female,Bosnia,25,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'PASTA']"
172,0,14708,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['RICE', 'PASTA']"
174,0,14648,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PIZZA']"
176,0,14661,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
178,0,14763,Female,Bosnia,19,1,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PASTA']"
180,0,14775,Male,Bosnia,20,0,0,0,0,1,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
182,0,14675,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['FISH', 'RED MEAT', 'SALAD']"
185,0,14793,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'SALAD']"
187,0,14755,Male,Bosnia,20,0,0,1,1,0,0,0,0,0,0,0,"['RICE', 'PASTA']"
189,0,14754,Female,Austria,27,1,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'FISH', 'SALAD']"
192,0,14788,Male,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
194,0,14798,Female,Bosnia,19,0,0,1,0,0,0,0,0,0,0,1,"['FISH', 'RICE']"
196,0,14718,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'FISH', 'PIZZA']"
199,0,14907,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PASTA']"
201,0,14693,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['FISH', 'PIZZA', 'SALAD']"
204,0,14719,Male,Bosnia,22,0,0,0,1,0,1,0,0,0,0,0,['PIZZA']
205,0,14679,Female,Bosnia,19,0,1,1,1,1,0,0,0,0,1,0,"['RICE', 'CHINESE NOODLE']"
207,0,14668,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'BURGER']"
209,0,14765,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'FISH', 'PIZZA']"
212,0,14933,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,0,0,"['SOUP', 'SALAD']"
214,0,14783,Female,Bosnia,20,0,0,0,1,1,0,0,0,0,1,0,"['WHITE MEAT', 'FISH']"
216,0,14744,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'SALAD']"
218,0,14796,Female,Bosnia,19,0,0,0,1,1,0,0,0,0,0,0,"['WHITE MEAT', 'FISH', 'SOUP', 'PIZZA', 'RICE', 'PASTA']"
224,0,14777,Male,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SALAD']"
226,0,14764,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,0,0,"['CHINESE NOODLE', 'PASTA']"
228,0,14785,Female,Bosnia,20,0,0,0,1,1,0,0,1,0,1,0,"['SALAD', 'PASTA']"
230,0,14706,Female,Bosnia,19,0,0,0,1,1,0,0,0,0,0,0,"['FISH', 'PASTA']"
232,0,14690,Male,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SALAD']"
234,0,14689,Female,Bosnia,20,1,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'SALAD', 'PASTA']"
239,0,14715,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
241,0,14789,Male,Bosnia,20,0,0,0,1,1,0,0,0,0,1,0,"['RED MEAT', 'BURGER']"
243,0,14677,Male,Bosnia,20,0,0,0,0,1,0,0,0,1,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'BURGER']"
247,0,14678,Female,Bosnia,19,0,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'SOUP', 'PIZZA', 'RICE', 'CHINESE NOODLE', 'SALAD', 'BURGER', 'PASTA']"
256,0,14660,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'SALAD']"
258,0,14786,Female,Bosnia,19,0,1,1,1,1,0,0,0,0,1,0,"['RICE', 'CHINESE NOODLE']"
260,0,14654,Female,Bosnia,20,0,0,0,1,1,0,0,0,0,1,0,"['FISH', 'BURGER']"
262,0,14691,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'PIZZA']"
266,0,14742,Male,Bosnia,20,0,1,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'PASTA']"
268,0,14803,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PASTA']"
270,0,14776,Female,Bosnia,19,0,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'SOUP', 'PIZZA', 'RICE', 'CHINESE NOODLE', 'SALAD', 'BURGER', 'PASTA']"
279,0,14696,Male,Bosnia,20,0,1,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'PASTA']"
281,0,14787,Male,Bosnia,20,0,0,0,0,1,0,0,0,1,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'BURGER']"
285,0,14705,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
287,0,14717,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'PIZZA', 'PASTA']"
291,0,14662,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA']"
293,0,14739,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
295,0,14760,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
297,0,14795,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
299,0,14649,Male,Bosnia,21,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
301,0,14642,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
303,0,14652,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
305,0,14753,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['FISH', 'PIZZA', 'SALAD', 'PASTA']"
309,0,14671,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['FISH', 'PIZZA']"
311,0,14766,Female,Bosnia,20,1,0,0,1,0,0,0,0,0,1,0,"['BURGER', 'PASTA']"
313,0,14767,Female,Italy,20,0,1,1,0,0,0,0,0,0,0,0,"['PIZZA', 'CHINESE NOODLE']"
315,0,14673,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PASTA']"
317,0,14741,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
319,0,14672,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
321,0,14801,Male,Finland,23,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SOUP']"
323,0,14768,Female,Bosnia,20,1,0,0,1,1,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'SALAD', 'PASTA']"
330,0,14713,Female,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['SOUP', 'SALAD', 'PASTA']"
333,0,14771,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
335,0,14740,Male,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT']"
337,0,14646,Female,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SALAD']"
339,0,14920,Male,Bosnia,20,1,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'PASTA']"
341,0,14676,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'PASTA']"
343,0,14912,Male,Bosnia,21,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
345,0,14704,Male,Bosnia,21,0,0,0,0,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT']"
347,0,14908,Male,Bosnia,19,0,0,0,0,0,0,0,1,0,0,0,"['FISH', 'PIZZA']"
349,0,14780,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'PASTA']"
351,0,14804,Male,Bosnia,22,0,0,0,1,0,1,0,0,0,0,0,['PIZZA']
352,0,14902,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['FISH', 'PIZZA']"
354,0,14924,Male,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'PASTA']"
356,0,14779,Female,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SOUP', 'SALAD', 'BURGER']"
360,0,14667,Male,Bosnia,21,1,0,0,1,1,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER', 'PASTA']"
365,0,14759,Male,Bosnia,21,1,0,0,1,1,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER', 'PASTA']"
370,0,14669,Male,Bosnia,19,0,0,1,1,0,1,0,0,0,1,0,"['WHITE MEAT', 'PASTA']"
372,0,14666,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
374,0,14774,Male,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'PASTA']"
376,0,14655,Female,Italy,25,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'SALAD']"
378,0,14752,Male,Italy,19,1,0,1,1,0,0,0,0,0,1,0,"['PIZZA', 'PASTA']"
380,0,14757,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
382,0,14784,Female,Italy,17,1,1,0,0,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
384,0,14653,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['BURGER', 'PASTA']"
388,0,14781,Male,Italy,20,0,1,0,0,0,1,0,0,0,0,1,"['WHITE MEAT', 'FISH', 'RED MEAT']"
391,0,14736,Male,Bosnia,21,0,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PIZZA']"
393,0,14738,Male,Italy,20,0,0,0,1,0,0,1,0,0,0,0,"['RED MEAT', 'PIZZA']"
395,0,14714,Male,Bosnia,20,0,0,1,0,0,1,0,0,0,0,0,"['FISH', 'BURGER']"
397,0,14761,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
399,0,14647,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
405,0,14712,Male,Bosnia,21,0,0,0,1,0,0,0,0,0,0,0,"['FISH', 'PASTA']"
407,0,14799,Male,Bosnia,19,1,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'SALAD']"
409,0,14674,Male,Bosnia,19,1,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'SALAD']"
413,0,14911,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA']"
415,0,14927,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA']"
417,0,14687,Male,Bosnia,21,1,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PIZZA']"
419,0,14746,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PASTA']"
421,0,14663,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PASTA']"
423,0,14758,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,0,0,"['FISH', 'SALAD']"
425,0,14650,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,0,0,"['FISH', 'SALAD']"
427,0,14664,Male,Bosnia,19,1,0,0,1,1,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
429,0,14641,Male,Bosnia,20,1,1,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SOUP', 'PIZZA', 'SALAD', 'BURGER', 'PASTA']"
435,0,14747,Male,Bosnia,19,1,0,0,1,1,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
437,0,14737,Male,Bosnia,21,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
439,0,14778,Male,Bosnia,20,1,0,1,1,0,0,0,0,0,0,0,"['RED MEAT', 'PIZZA', 'SALAD', 'BURGER', 'PASTA']"
444,0,14721,Male,Bosnia,20,0,0,1,1,0,0,0,0,0,0,0,"['SALAD', 'BURGER']"
446,0,14806,Male,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['WHITE MEAT', 'BURGER']"
448,0,14711,Male,Bosnia,25,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
450,0,14685,Male,Italy,20,0,0,0,1,1,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT']"
453,0,14651,Male,Bosnia,20,1,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PIZZA', 'RICE', 'PASTA']"
457,0,14794,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
459,0,14665,Male,Bosnia,21,0,0,0,1,0,0,0,1,0,1,0,"['PIZZA', 'PASTA']"
461,0,14733,Male,Bosnia,20,1,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PIZZA', 'RICE', 'PASTA']"
469,0,14722,Male,Bosnia,21,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
