"id","group_id","restaurant_id","ts"
1,0,0,"2022-08-24 17:50:45"
188,32306,29,"2022-11-28 12:19:09"
189,32309,4,"2022-12-02 11:06:03"
190,32324,29,"2023-01-09 13:18:47"
191,32340,29,"2023-01-09 13:34:51"
192,32343,27,"2023-01-09 13:43:26"
193,32387,31,"2023-01-09 14:34:31"
194,32392,29,"2023-01-11 12:57:19"
195,32394,27,"2023-01-11 13:03:14"
196,32398,29,"2023-01-11 13:22:22"
197,32402,3,"2023-01-11 15:28:45"
198,32403,29,"2023-01-11 15:33:07"
199,32407,29,"2023-01-11 15:46:43"
200,32413,27,"2023-01-11 15:51:10"
201,32414,28,"2023-01-11 15:56:55"
202,32418,29,"2023-01-11 15:57:19"
203,32419,29,"2023-01-11 16:00:07"
204,32424,7,"2023-01-11 16:19:27"
205,32429,4,"2023-01-11 16:31:59"
206,32428,28,"2023-01-11 17:48:42"
207,32553,29,"2023-01-12 12:31:17"
208,32629,29,"2023-01-16 14:28:14"
209,32811,29,"2023-01-17 17:08:10"
210,32946,29,"2023-01-24 15:27:25"
218,33466,32,"2023-02-27 12:03:06"
219,33478,22,"2023-02-27 13:41:10"
220,33479,26,"2023-02-27 13:48:33"
221,33487,29,"2023-02-28 14:25:48"
222,33778,29,"2023-03-03 14:53:38"
223,33824,18,"2023-03-08 12:54:13"
224,33860,29,"2023-03-08 17:08:32"
225,33861,18,"2023-03-08 17:10:24"
226,33862,29,"2023-03-08 17:12:49"
227,33863,29,"2023-03-08 17:14:04"
228,33864,18,"2023-03-08 17:16:41"
229,33865,27,"2023-03-08 17:17:37"
230,33866,27,"2023-03-08 17:23:05"
231,33867,18,"2023-03-08 17:25:15"
232,33868,18,"2023-03-08 17:27:41"
233,33869,29,"2023-03-08 17:30:48"
234,33869,18,"2023-03-08 17:30:53"
235,33869,29,"2023-03-08 17:31:39"
236,33869,29,"2023-03-08 17:32:06"
237,33869,29,"2023-03-08 17:33:24"
238,33869,29,"2023-03-08 17:33:59"
239,33869,18,"2023-03-08 17:34:03"
240,33870,29,"2023-03-08 18:17:27"
241,33915,29,"2023-03-14 12:02:37"
242,33917,3,"2023-03-14 13:47:52"
243,33931,29,"2023-03-15 09:05:54"
244,33932,29,"2023-03-15 12:15:46"
245,34014,27,"2023-03-20 20:06:01"
246,34025,20,"2023-03-21 20:43:02"
247,34025,29,"2023-03-21 20:43:23"
248,34025,32,"2023-03-21 20:47:48"
249,34095,22,"2023-03-27 09:30:49"
250,34133,18,"2023-03-28 11:36:20"
251,34134,32,"2023-03-28 11:42:08"
252,34154,18,"2023-03-28 12:29:34"
253,34157,18,"2023-03-28 14:20:27"
254,34157,18,"2023-03-28 14:20:46"
255,34155,32,"2023-03-28 14:22:14"
256,34165,29,"2023-03-29 09:57:32"
257,34178,32,"2023-04-03 10:15:23"
258,34177,18,"2023-04-03 10:17:46"
259,34174,18,"2023-04-03 10:18:55"
260,34181,18,"2023-04-03 10:23:52"
261,34186,27,"2023-04-03 10:25:05"
262,34205,22,"2023-04-05 15:39:59"
263,34867,29,"2023-05-17 16:04:51"
264,34874,29,"2023-05-17 16:12:00"
265,34874,18,"2023-05-17 16:20:47"
266,34874,29,"2023-05-17 16:33:01"
267,34875,29,"2023-05-17 16:38:07"
268,34875,29,"2023-05-17 16:38:50"
269,34876,29,"2023-05-17 16:40:24"
270,34892,4,"2023-05-18 09:38:23"
271,34910,22,"2023-05-18 10:03:27"
272,34910,29,"2023-05-18 10:13:25"
273,34911,8,"2023-05-18 10:15:00"
274,34921,25,"2023-05-18 11:39:03"
275,34922,12,"2023-05-18 11:40:09"
276,35098,15,"2023-05-22 15:25:37"
277,35100,5,"2023-05-22 15:27:58"
278,35143,32,"2023-05-23 10:18:32"
279,35145,22,"2023-05-23 10:26:37"
280,35187,29,"2023-05-23 14:33:57"
281,35190,29,"2023-05-23 14:35:37"
282,35191,29,"2023-05-23 14:37:33"
283,35281,26,"2023-05-23 17:13:14"
284,35282,5,"2023-05-23 17:13:20"
285,35284,23,"2023-05-23 17:14:43"
286,35283,30,"2023-05-23 17:14:59"
287,35423,29,"2023-06-05 16:45:03"
288,35430,32,"2023-06-11 10:07:41"
289,35436,22,"2023-06-11 10:25:34"
290,35436,29,"2023-06-11 10:28:49"
291,35438,31,"2023-06-11 10:29:52"
292,35438,26,"2023-06-11 10:31:10"
293,35438,18,"2023-06-11 10:33:26"
294,35436,22,"2023-06-11 10:33:27"
295,35438,31,"2023-06-11 10:33:57"
296,35439,22,"2023-06-11 10:35:16"
297,35445,22,"2023-06-11 10:47:04"
298,35444,5,"2023-06-11 10:53:35"
299,35444,5,"2023-06-11 10:54:21"
300,35449,18,"2023-06-11 10:54:22"
301,35473,29,"2023-06-12 15:58:30"
302,35478,29,"2023-06-12 16:14:36"
303,35474,26,"2023-06-12 16:17:55"
304,35483,29,"2023-06-12 16:27:17"
305,35493,29,"2023-06-12 16:32:31"
306,35488,29,"2023-06-12 16:42:59"
307,35507,22,"2023-06-12 18:50:23"
308,35512,29,"2023-06-12 20:07:19"
309,35515,29,"2023-06-12 20:45:04"
310,35515,29,"2023-06-12 20:46:04"
311,35514,29,"2023-06-12 21:07:35"
312,35524,29,"2023-06-12 22:36:51"
313,35524,29,"2023-06-12 22:37:15"
314,35525,26,"2023-06-12 22:39:42"
315,35525,29,"2023-06-12 22:42:50"
316,35534,29,"2023-06-13 02:03:09"
317,35540,18,"2023-06-13 09:35:24"
318,35539,29,"2023-06-13 09:35:35"
319,35540,18,"2023-06-13 09:37:18"
320,35539,29,"2023-06-13 09:44:35"
321,35546,18,"2023-06-13 11:24:32"
322,35550,17,"2023-06-13 12:32:15"
323,35555,32,"2023-06-13 12:43:07"
324,35550,17,"2023-06-13 13:05:48"
325,35568,29,"2023-06-13 15:56:57"
326,35588,29,"2023-06-13 19:06:37"
327,35592,29,"2023-06-13 19:31:05"
328,35648,29,"2023-06-13 22:09:17"
329,35647,29,"2023-06-13 22:10:43"
330,35648,29,"2023-06-13 22:32:47"
331,35648,29,"2023-06-13 22:39:34"
332,35650,29,"2023-06-13 22:42:55"
333,35648,29,"2023-06-13 22:45:58"
334,35660,29,"2023-06-13 22:55:08"
335,35659,29,"2023-06-13 22:58:01"
336,35660,29,"2023-06-13 23:01:42"
337,35663,29,"2023-06-13 23:19:22"
