,user_id,choice
123,14639,5
78,14640,29
60,14641,18
116,14642,29
135,14643,5
155,14644,5
156,14645,5
212,14771,5
133,14647,5
94,14648,5
253,14649,5
71,14758,10
218,14651,29
144,14652,5
140,14653,5
108,14783,32
81,14784,30
204,14730,4
93,14657,29
203,14658,22
84,14659,5
48,14660,29
82,14661,29
172,14662,29
160,14663,26
205,14747,24
230,14802,5
171,14666,5
258,14667,32
40,14745,29
259,14669,32
37,14748,4
46,14801,29
187,14672,18
107,14803,5
261,14674,4
42,14675,18
70,14780,5
177,14677,5
170,14678,5
165,14679,29
162,14732,25
38,14750,18
142,14772,26
182,14770,29
234,14684,5
62,14781,24
154,14686,5
152,14731,5
77,14688,18
233,14689,15
80,14690,5
113,14691,5
202,14692,5
100,14693,18
189,14800,5
88,14806,26
228,14742,5
118,14697,6
76,14698,29
201,14699,29
52,14700,5
57,14773,5
56,14702,29
105,14703,5
266,14704,17
131,14705,22
68,14706,18
59,14707,5
74,14708,18
110,14709,5
149,14710,5
269,14711,22
66,14712,5
184,14713,18
217,14738,18
270,14715,29
231,14716,29
69,14717,5
260,14718,29
183,14719,4
36,14720,29
163,14721,5
37,14748,4
49,14749,29
52,14700,5
117,14797,29
67,14809,23
209,14814,29
210,14869,29
206,14884,29
200,14899,18
44,14920,18
121,14905,5
53,14906,5
267,14907,5
287,14908,21
50,14909,5
63,14911,24
197,14889,26
290,14912,28
300,20672,29
302,20734,18
303,20735,26
304,20738,32
305,20739,25
302,20734,18
304,20738,32
303,20735,26
311,20788,31
310,20789,18
313,20797,32
312,20798,5
