,organizer,type
0,14639,G8
12,14640,G4
28,14641,G10
36,14642,G7
49,14643,G3
59,14644,G9
73,14645,G5
86,14646,G2
94,14646,G11
98,14647,G11
100,14648,G6
116,14649,G4
127,14650,G12
136,14651,G7
156,14652,G3
161,14653,G10
165,14654,G5
172,14655,G1
188,14656,G11
191,14657,G6
195,14657,G11
204,14658,G2
223,14658,G11
224,14659,G12
228,14660,G8
240,14661,G3
258,14662,G10
265,14663,G7
274,14663,G10
275,14664,G1
285,14664,G9
289,14665,G9
309,14666,G6
312,14667,G2
317,14668,G11
319,14669,G8
324,14670,G4
338,14671,G10
341,14672,G7
349,14673,G3
361,14674,G9
374,14675,G5
385,14676,G2
389,14677,G11
401,14678,G6
414,14679,G4
428,14679,G12
429,14680,G12
432,14681,G7
446,14682,G3
464,14683,G10
468,14684,G5
488,14685,G1
498,14686,G11
500,14687,G6
519,14688,G2
527,14689,G12
543,14690,G8
548,14691,G3
551,14692,G10
573,14693,G7
581,14694,G1
585,14695,G9
588,14696,G6
594,14697,G2
595,14698,G11
601,14699,G8
602,14700,G4
631,14701,G10
633,14702,G7
637,14703,G3
643,14704,G9
646,14705,G5
652,14706,G2
655,14707,G11
660,14708,G6
688,14709,G4
700,14710,G12
709,14711,G7
713,14712,G3
722,14713,G10
724,14714,G5
732,14715,G1
772,14716,G11
780,14717,G6
785,14718,G2
793,14719,G12
839,14720,G8
861,14720,G12
862,14721,G3
867,14722,G10
877,14728,G7
881,14729,G1
889,14729,G9
890,14730,G9
904,14731,G6
914,14732,G2
917,14733,G11
932,14734,G8
943,14735,G4
947,14736,G10
966,14737,G7
977,14738,G3
984,14739,G9
1014,14740,G5
1016,14740,G9
1018,14741,G2
1022,14742,G11
1027,14743,G6
1040,14744,G4
1061,14745,G12
1067,14746,G7
1093,14747,G3
1095,14748,G10
1098,14749,G5
1099,14750,G1
1109,14750,G9
1131,14751,G11
1137,14752,G6
1139,14753,G2
1143,14754,G12
1168,14755,G8
1236,14756,G3
1237,14757,G10
1242,14758,G7
1258,14759,G1
1262,14760,G9
1278,14761,G6
1287,14762,G2
1313,14763,G11
1323,14764,G8
1339,14765,G4
1341,14766,G10
1346,14767,G7
1349,14767,G10
1352,14768,G3
1366,14769,G9
1384,14770,G5
1395,14771,G2
1420,14772,G11
1444,14773,G6
1452,14774,G4
1454,14775,G12
1463,14776,G7
1467,14777,G3
1471,14778,G10
1480,14779,G5
1484,14780,G1
1489,14781,G11
1509,14782,G6
1525,14783,G2
1530,14784,G12
1533,14785,G8
1540,14786,G3
1542,14786,G4
1547,14787,G10
1556,14788,G7
1573,14789,G1
1579,14789,G9
1581,14790,G9
1586,14791,G6
1589,14792,G2
1598,14793,G11
1601,14794,G8
1607,14795,G4
1613,14797,G7
1615,14798,G3
1622,14799,G9
1625,14800,G5
1627,14800,G9
1629,14801,G2
1633,14802,G11
1641,14803,G6
1655,14804,G4
1674,14805,G12
1675,14806,G7
1679,14807,G3
1681,14808,G10
1683,14809,G5
1687,14812,G1
1690,14814,G11
1700,14884,G12
1708,14899,G8
1711,14902,G3
1715,14905,G10
1747,14906,G7
1751,14907,G1
1761,14908,G9
1763,14909,G6
1768,14911,G2
1772,14889,G11
1775,14912,G11
1778,20734,G1
1779,20734,G4
1780,20735,G1
1782,20738,G1
1785,20739,G1
1786,20767,G6
1787,20769,G6
1788,20770,G6
1789,20771,G6
1790,20788,G7
1791,20789,G7
1792,20797,G7
1793,20798,G7
