user,restaurant,rating
14785,30,1
14785,5,1
14639,5,3
14639,29,5
14728,29,4
14728,5,1
14643,29,4
14643,18,3
14643,5,5
14772,29,4
14772,26,5
14772,5,4
14682,5,5
14682,32,5
14710,5,4
14663,26,4
14744,32,4
14744,29,5
14744,5,3
14681,32,2
14681,5,4
14773,26,4
14773,5,4
14773,29,5
14701,29,5
14701,5,5
14654,5,4
14746,32,4
14746,29,4
14746,5,3
14658,29,5
14658,5,5
14658,22,4
14884,29,5
14884,18,5
14698,6,4
14698,29,2
14781,32,5
14781,5,4
14781,24,5
14781,25,5
14781,29,5
14771,5,4
14771,29,5
14750,18,3
14750,24,4
14750,4,5
14750,29,3
14729,29,5
14729,5,4
14730,25,5
14730,4,5
14730,5,4
14640,29,5
14640,5,4
14691,29,5
14691,18,2
14691,5,5
14656,32,4
14656,29,4
14656,22,4
14807,28,3
14807,32,3
14807,29,5
14807,23,5
14646,5,4
14644,5,5
14644,5,4
14783,32,2
14783,5,3
14783,24,3
14783,25,4
14783,29,4
14661,29,5
14661,5,4
14661,22,3
14731,25,4
14731,4,4
14731,5,5
14660,29,5
14660,5,4
14660,22,4
14788,22,3
14788,29,5
14788,5,3
14645,5,4
14709,5,5
14802,29,5
14802,5,5
14665,26,4
14665,10,4
14665,5,4
14665,29,4
14702,5,4
14702,29,5
14702,29,4
14745,32,3
14745,5,5
14745,29,3
14804,26,2
14804,9,4
14804,4,4
14804,5,4
14689,18,2
14689,5,2
14689,15,5
14779,32,3
14779,25,3
14779,5,3
14779,24,4
14779,29,5
14687,5,5
14687,18,5
14687,18,2
14687,5,5
14687,15,4
14782,32,2
14782,5,4
14782,24,1
14782,25,3
14782,29,2
14782,32,2
14782,5,4
14782,29,4
14782,25,3
14782,24,2
14780,32,2
14780,29,4
14780,5,5
14780,24,4
14780,25,3
14757,18,4
14757,26,5
14684,5,4
14666,5,5
14666,26,4
14666,10,3
14666,29,5
14657,32,1
14657,29,4
14657,22,2
14657,22,3
14664,29,3
14664,10,4
14664,5,4
14664,26,5
14662,29,5
14662,10,3
14662,5,3
14662,26,4
14743,5,5
14743,5,4
14652,29,5
14652,5,5
14642,18,3
14642,29,5
14642,5,5
14659,5,4
14659,29,5
14659,22,3
14763,18,5
14763,32,3
14763,29,5
14685,5,3
14692,18,2
14692,29,5
14692,5,3
14697,6,4
14697,29,4
14747,24,3
14747,18,3
14747,4,4
14747,29,4
14655,32,3
14655,29,5
14655,22,2
14784,5,3
14784,30,1
14688,18,2
14688,5,4
14688,15,3
14770,29,5
14770,5,4
14641,5,4
14641,18,1
14641,29,5
14683,5,3
14803,9,5
14803,26,2
14803,4,5
14803,5,5
14786,5,2
14786,3,1
14786,29,4
14650,5,4
14650,29,5
14648,5,4
14648,29,5
14800,5,5
14800,29,4
14806,26,4
14806,9,5
14806,4,5
14806,5,5
14775,24,5
14775,29,5
14775,22,4
14777,24,4
14777,29,5
14718,32,3
14718,5,5
14718,4,5
14718,29,5
14718,29,4
14694,29,5
14694,18,5
14694,5,5
14694,5,4
14673,18,2
14673,4,4
14668,32,4
14668,5,3
14722,5,5
14722,32,1
14722,4,3
14674,18,4
14674,4,5
14705,18,3
14705,17,4
14705,5,5
14705,22,3
14667,5,5
14667,32,2
14707,17,4
14707,5,5
14707,22,3
14707,18,2
14672,4,4
14672,18,5
14708,17,5
14708,18,4
14708,5,4
14708,22,3
14708,22,4
14795,18,5
14795,4,4
14767,25,5
14767,29,4
14767,5,2
14670,32,3
14670,26,3
14670,5,4
14741,18,2
14751,5,4
14751,18,2
14751,29,5
14789,17,4
14793,32,2
14793,2,2
14793,18,1
14793,29,5
14793,19,3
14675,18,5
14675,4,3
14651,29,4
14651,5,5
14760,10,3
14760,18,4
14716,18,2
14716,5,2
14716,29,5
14706,17,4
14706,18,1
14706,5,5
14706,22,1
14798,30,2
14798,29,5
14754,5,5
14754,18,4
14754,29,4
14791,17,3
14791,5,3
14791,29,4
14792,5,3
14792,29,4
14792,17,2
14693,18,2
14693,29,3
14693,5,2
14753,5,3
14753,18,1
14753,29,4
14713,18,5
14713,5,3
14713,22,4
14719,32,3
14719,5,4
14719,29,4
14719,4,3
14932,5,3
14932,8,5
14932,18,2
14932,28,3
14932,29,5
14905,21,3
14905,5,5
14911,24,3
14911,26,3
14911,5,4
14769,25,4
14769,5,3
14769,29,5
14927,18,3
14927,4,5
14927,22,3
14927,7,4
14902,18,5
14902,29,4
14920,18,5
14920,4,3
14920,22,4
14920,7,3
14799,29,4
14799,30,5
14647,5,4
14761,32,4
14761,18,4
14761,29,5
14714,5,4
14714,18,4
14714,29,4
14738,18,5
14711,5,5
14711,18,5
14711,22,5
14906,21,1
14906,5,3
14923,18,1
14923,4,5
14923,22,1
14923,7,1
14797,32,4
14797,2,1
14797,18,1
14797,29,4
14797,19,4
14749,24,3
14749,18,3
14749,4,5
14749,29,5
14909,24,4
14909,26,4
14909,5,5
14935,5,5
14935,8,5
14935,18,4
14935,29,5
14935,28,2
14720,32,2
14720,5,3
14720,4,5
14720,29,5
14686,18,1
14686,5,4
14686,15,5
14680,29,5
14680,18,3
