group,member
1,14640
1,14639
2,14640
2,14639
3,14641
3,14642
3,14643
4,14641
4,14642
4,14643
5,14641
5,14642
5,14643
6,14644
6,14645
6,14646
6,14647
7,14644
7,14645
7,14646
7,14647
8,14644
8,14645
8,14646
8,14647
9,14644
9,14645
9,14646
9,14647
10,14648
10,14649
10,14650
10,14651
10,14652
11,14648
11,14649
11,14650
11,14651
11,14652
12,14648
12,14649
12,14650
12,14651
12,14652
13,14648
13,14649
13,14650
13,14651
13,14652
14,14648
14,14649
14,14650
14,14651
14,14652
15,14653
15,14654
16,14653
16,14654
17,14656
17,14657
17,14655
18,14656
18,14657
18,14655
19,14656
19,14657
19,14655
20,14658
20,14659
20,14660
20,14661
21,14658
21,14659
21,14660
21,14661
22,14658
22,14659
22,14660
22,14661
23,14658
23,14659
23,14660
23,14661
24,14662
24,14663
24,14664
24,14665
24,14666
25,14662
25,14663
25,14664
25,14665
25,14666
26,14662
26,14663
26,14664
26,14665
26,14666
27,14662
27,14663
27,14664
27,14665
27,14666
28,14662
28,14663
28,14664
28,14665
28,14666
29,14667
29,14668
30,14667
30,14668
31,14669
31,14670
31,14671
32,14669
32,14670
32,14671
33,14669
33,14670
33,14671
34,14672
34,14673
34,14674
34,14675
35,14672
35,14673
35,14674
35,14675
36,14672
36,14673
36,14674
36,14675
37,14672
37,14673
37,14674
37,14675
38,14676
38,14677
38,14678
38,14679
38,14680
39,14676
39,14677
39,14678
39,14679
39,14680
40,14676
40,14677
40,14678
40,14679
40,14680
41,14676
41,14677
41,14678
41,14679
41,14680
42,14676
42,14677
42,14678
42,14679
42,14680
43,14681
43,14682
44,14681
44,14682
45,14683
45,14684
45,14685
46,14683
46,14684
46,14685
47,14683
47,14684
47,14685
48,14688
48,14689
48,14686
48,14687
49,14688
49,14689
49,14686
49,14687
50,14688
50,14689
50,14686
50,14687
51,14688
51,14689
51,14686
51,14687
52,14690
52,14691
52,14692
52,14693
52,14694
53,14690
53,14691
53,14692
53,14693
53,14694
54,14690
54,14691
54,14692
54,14693
54,14694
55,14690
55,14691
55,14692
55,14693
55,14694
56,14690
56,14691
56,14692
56,14693
56,14694
57,14696
57,14695
58,14696
58,14695
59,14697
59,14698
59,14699
60,14697
60,14698
60,14699
61,14697
61,14698
61,14699
62,14700
62,14701
62,14702
62,14703
63,14700
63,14701
63,14702
63,14703
64,14700
64,14701
64,14702
64,14703
65,14700
65,14701
65,14702
65,14703
66,14704
66,14705
66,14706
66,14707
66,14708
67,14704
67,14705
67,14706
67,14707
67,14708
68,14704
68,14705
68,14706
68,14707
68,14708
69,14704
69,14705
69,14706
69,14707
69,14708
70,14704
70,14705
70,14706
70,14707
70,14708
71,14709
71,14710
72,14709
72,14710
73,14712
73,14713
73,14711
74,14712
74,14713
74,14711
75,14712
75,14713
75,14711
76,14714
76,14715
76,14716
76,14717
77,14714
77,14715
77,14716
77,14717
78,14714
78,14715
78,14716
78,14717
79,14714
79,14715
79,14716
79,14717
80,14720
80,14721
80,14722
80,14718
80,14719
81,14720
81,14721
81,14722
81,14718
81,14719
82,14720
82,14721
82,14722
82,14718
82,14719
83,14720
83,14721
83,14722
83,14718
83,14719
84,14720
84,14721
84,14722
84,14718
84,14719
85,14728
85,14729
86,14728
86,14729
87,14730
87,14731
87,14732
88,14730
88,14731
88,14732
89,14730
89,14731
89,14732
90,14736
90,14733
90,14734
90,14735
91,14736
91,14733
91,14734
91,14735
92,14736
92,14733
92,14734
92,14735
93,14736
93,14733
93,14734
93,14735
94,14737
94,14738
94,14739
94,14740
94,14741
95,14737
95,14738
95,14739
95,14740
95,14741
96,14737
96,14738
96,14739
96,14740
96,14741
97,14737
97,14738
97,14739
97,14740
97,14741
98,14737
98,14738
98,14739
98,14740
98,14741
99,14742
99,14743
100,14742
100,14743
101,14744
101,14745
101,14746
102,14744
102,14745
102,14746
103,14744
103,14745
103,14746
104,14747
104,14748
104,14749
104,14750
105,14747
105,14748
105,14749
105,14750
106,14747
106,14748
106,14749
106,14750
107,14747
107,14748
107,14749
107,14750
108,14752
108,14753
108,14754
108,14755
108,14751
109,14752
109,14753
109,14754
109,14755
109,14751
110,14752
110,14753
110,14754
110,14755
110,14751
111,14752
111,14753
111,14754
111,14755
111,14751
112,14752
112,14753
112,14754
112,14755
112,14751
