user,restaurant,rating
14785,26,3
14785,5,4
14785,25,3
14785,2,1
14785,6,2
14785,10,1
14785,29,5
14785,18,2
14785,20,1
14785,5,4
14785,30,2
14639,7,3
14639,22,4
14639,24,3
14639,28,5
14639,4,5
14639,29,4
14639,25,4
14639,13,1
14639,18,5
14639,5,3
14639,29,5
14728,11,2
14728,6,3
14728,28,5
14728,32,3
14728,15,5
14728,4,5
14728,17,5
14728,5,5
14728,18,1
14728,5,3
14728,29,5
14643,28,5
14643,21,2
14643,17,4
14643,10,3
14643,19,5
14643,4,3
14643,20,5
14643,16,2
14643,29,1
14643,29,2
14643,5,4
14643,18,5
14772,1,3
14772,2,4
14772,29,5
14772,25,4
14772,26,4
14772,24,3
14772,10,3
14772,20,3
14772,3,1
14772,5,4
14772,29,5
14772,26,5
14682,15,3
14682,1,3
14682,29,5
14682,9,4
14682,6,3
14682,24,4
14682,28,4
14682,25,4
14682,10,2
14682,32,4
14682,5,5
14710,7,3
14710,10,2
14710,30,3
14710,8,5
14710,17,4
14710,4,5
14710,16,2
14710,18,3
14710,29,5
14710,5,5
14663,8,4
14663,24,3
14663,1,3
14663,19,4
14663,16,4
14663,8,3
14663,25,5
14663,4,4
14663,5,4
14663,3,2
14663,21,3
14663,17,4
14663,1,4
14663,12,5
14663,2,4
14663,26,4
14663,5,4
14663,32,5
14663,29,3
14744,8,4
14744,1,2
14744,25,3
14744,6,4
14744,21,2
14744,19,4
14744,18,3
14744,32,3
14744,26,4
14744,29,5
14744,5,4
14744,32,3
14681,23,3
14681,32,2
14681,4,3
14681,25,4
14681,8,5
14681,1,2
14681,7,3
14681,6,2
14681,28,4
14681,5,5
14681,32,2
14773,32,4
14773,22,5
14773,9,3
14773,13,5
14773,12,5
14773,17,4
14773,24,5
14773,11,3
14773,6,5
14773,29,4
14773,26,3
14773,5,3
14701,2,5
14701,21,3
14701,13,5
14701,32,4
14701,6,5
14701,4,4
14701,12,5
14701,5,4
14701,25,5
14701,5,5
14701,29,5
14654,32,3
14654,24,3
14654,27,3
14654,8,3
14654,22,2
14654,2,3
14654,3,4
14654,9,3
14654,16,2
14654,5,3
14746,26,4
14746,17,4
14746,30,3
14746,9,2
14746,10,2
14746,27,3
14746,21,3
14746,5,5
14746,23,4
14746,32,5
14746,5,4
14746,29,3
14746,32,5
14746,5,4
14746,29,3
14746,5,4
14746,29,3
14746,32,5
14746,5,4
14746,29,3
14746,32,5
14658,24,5
14658,21,5
14658,20,3
14658,23,2
14658,28,5
14658,25,4
14658,8,3
14658,7,5
14658,19,3
14658,22,4
14658,5,4
14658,29,5
14658,5,5
14658,5,5
14658,29,5
14658,22,5
14658,29,5
14658,22,5
14884,28,5
14884,25,5
14884,15,5
14884,30,5
14884,5,5
14884,20,5
14884,8,5
14884,32,5
14884,10,5
14884,29,5
14884,18,5
14698,31,5
14698,29,5
14698,23,4
14698,8,1
14698,27,3
14698,3,3
14698,30,5
14698,17,5
14698,2,5
14698,29,2
14698,29,3
14698,6,4
14698,29,5
14698,6,5
14698,29,4
14698,6,5
14698,29,2
14781,5,2
14781,8,2
14781,11,5
14781,20,5
14781,2,4
14781,26,5
14781,31,4
14781,24,4
14781,17,2
14781,25,4
14781,29,3
14781,24,4
14781,32,5
14781,5,3
14781,29,3
14781,25,4
14781,24,5
14781,5,3
14781,32,5
14771,30,2
14771,10,2
14771,12,2
14771,17,4
14771,25,3
14771,32,2
14771,26,2
14771,23,2
14771,20,1
14771,29,4
14771,5,3
14750,16,1
14750,15,3
14750,20,2
14750,9,4
14750,29,5
14750,27,4
14750,13,4
14750,10,3
14750,30,3
14750,29,5
14750,24,3
14750,4,4
14750,18,2
14729,15,4
14729,3,2
14729,25,3
14729,28,4
14729,23,2
14729,17,4
14729,27,2
14729,9,4
14729,29,5
14729,5,4
14729,29,5
14729,29,5
14729,5,4
14729,29,5
14729,5,4
14729,29,5
14730,7,3
14730,8,4
14730,12,4
14730,24,4
14730,10,4
14730,26,4
14730,16,4
14730,10,5
14730,12,3
14730,5,5
14730,29,5
14730,23,4
14730,4,4
14730,17,3
14730,6,3
14730,26,4
14730,9,4
14730,19,4
14730,4,5
14730,5,5
14730,25,4
14730,5,5
14730,4,5
14640,28,4
14640,3,3
14640,9,4
14640,27,3
14640,17,4
14640,8,5
14640,5,3
14640,25,3
14640,13,5
14640,29,5
14640,29,5
14640,5,4
14640,5,4
14691,3,4
14691,19,3
14691,24,2
14691,11,2
14691,28,5
14691,4,5
14691,17,5
14691,1,2
14691,10,3
14691,18,3
14691,29,2
14691,5,4
14691,5,5
14691,29,4
14691,18,3
14656,1,2
14656,17,5
14656,9,4
14656,28,1
14656,21,2
14656,13,3
14656,2,4
14656,26,5
14656,24,4
14656,22,5
14656,29,5
14656,32,2
14807,27,1
14807,29,4
14807,20,1
14807,30,2
14807,10,2
14807,9,5
14807,15,5
14807,7,2
14807,24,3
14807,4,5
14807,21,2
14807,28,5
14807,10,2
14807,26,3
14807,17,5
14807,3,4
14807,13,5
14807,24,2
14807,23,3
14807,29,5
14807,28,5
14807,32,2
14646,9,2
14646,4,3
14646,7,3
14646,11,2
14646,16,2
14646,10,3
14646,21,1
14646,22,3
14646,32,2
14646,5,2
14644,20,1
14644,31,4
14644,10,1
14644,16,2
14644,25,4
14644,4,2
14644,21,1
14644,17,3
14644,11,1
14644,30,1
14644,7,1
14644,8,2
14644,24,1
14644,11,1
14644,5,2
14644,10,2
14644,32,2
14644,2,2
14644,5,3
14783,19,3
14783,29,3
14783,4,2
14783,1,1
14783,5,2
14783,3,4
14783,6,2
14783,20,3
14783,26,4
14783,12,3
14783,30,2
14783,22,4
14783,24,2
14783,29,4
14783,25,5
14783,32,4
14783,5,3
14661,9,4
14661,25,3
14661,29,5
14661,13,3
14661,28,3
14661,15,4
14661,5,4
14661,17,4
14661,8,4
14661,22,3
14661,5,5
14661,29,5
14661,5,4
14661,22,3
14661,29,5
14731,27,3
14731,12,3
14731,24,4
14731,21,2
14731,8,3
14731,23,4
14731,16,3
14731,22,3
14731,29,5
14731,4,4
14731,5,4
14731,25,3
14660,5,3
14660,30,2
14660,27,4
14660,20,2
14660,2,2
14660,24,4
14660,3,4
14660,19,3
14660,1,2
14660,29,5
14660,5,5
14660,29,4
14660,29,5
14660,22,4
14660,22,4
14660,5,4
14660,29,5
14660,22,4
14660,29,5
14660,5,4
14660,22,4
14660,29,5
14788,25,3
14788,8,5
14788,4,4
14788,22,2
14788,15,3
14788,17,4
14788,28,3
14788,29,4
14788,5,4
14645,28,2
14645,8,3
14645,25,3
14645,23,3
14645,28,2
14645,13,2
14645,3,3
14645,17,3
14645,29,5
14645,3,4
14645,27,5
14645,5,3
14645,13,3
14645,23,3
14645,9,3
14645,15,3
14645,5,3
14709,17,4
14709,12,1
14709,13,3
14709,21,2
14709,4,4
14709,20,1
14709,22,1
14709,18,2
14709,23,3
14709,5,5
14802,18,3
14802,13,5
14802,19,4
14802,2,3
14802,17,5
14802,21,3
14802,10,3
14802,4,5
14802,5,5
14802,29,5
14802,5,5
14665,17,5
14665,18,2
14665,4,5
14665,5,4
14665,19,3
14665,30,2
14665,10,3
14665,11,2
14665,26,3
14665,29,5
14665,10,5
14665,5,5
14665,26,5
14702,31,3
14702,30,4
14702,15,3
14702,29,4
14702,21,4
14702,2,5
14702,7,5
14702,32,4
14702,13,3
14702,5,4
14702,29,5
14745,1,3
14745,21,4
14745,4,5
14745,2,2
14745,3,4
14745,22,4
14745,5,3
14745,6,1
14745,17,4
14745,23,3
14745,5,4
14745,29,3
14745,32,5
14804,17,3
14804,8,4
14804,29,3
14804,9,4
14804,25,4
14804,5,2
14804,13,4
14804,15,5
14804,28,5
14804,26,2
14804,4,4
14804,5,2
14804,9,4
14689,5,4
14689,32,4
14689,31,1
14689,19,4
14689,22,3
14689,3,2
14689,25,5
14689,21,3
14689,17,5
14689,5,5
14689,5,5
14689,15,5
14689,18,4
14779,23,4
14779,17,3
14779,6,5
14779,21,2
14779,16,4
14779,27,3
14779,2,5
14779,31,2
14779,29,5
14779,29,5
14779,25,4
14779,24,5
14779,32,3
14779,5,4
14779,29,5
14779,5,4
14779,32,2
14779,29,5
14779,25,3
14779,24,3
14779,5,3
14779,32,2
14779,29,5
14779,25,3
14779,24,5
14779,5,3
14779,32,2
14687,21,3
14687,2,4
14687,3,4
14687,28,5
14687,10,4
14687,32,3
14687,27,2
14687,26,3
14687,20,2
14687,15,4
14687,5,5
14687,18,3
14687,15,4
14687,18,3
14687,5,5
14782,29,5
14782,25,4
14782,24,4
14782,5,5
14782,32,2
14782,29,5
14782,25,4
14782,24,3
14782,5,5
14782,32,2
14782,29,5
14782,25,5
14782,24,3
14782,5,4
14782,32,2
14782,25,4
14782,32,2
14782,24,2
14782,5,4
14782,5,4
14782,32,2
14782,24,2
14782,25,4
14782,29,4
14780,7,3
14780,3,4
14780,30,2
14780,16,2
14780,9,5
14780,32,3
14780,10,3
14780,24,3
14780,19,3
14780,29,4
14780,32,1
14780,24,3
14780,25,1
14780,5,2
14757,26,4
14757,18,3
14684,9,4
14684,15,4
14684,28,5
14684,25,4
14684,13,3
14684,5,3
14684,22,3
14684,17,5
14684,29,4
14684,5,4
14666,30,4
14666,13,4
14666,24,3
14666,18,3
14666,23,5
14666,27,3
14666,12,4
14666,26,4
14666,32,4
14666,29,5
14666,10,2
14666,26,4
14666,5,5
14657,17,3
14657,12,3
14657,21,1
14657,20,1
14657,7,3
14657,6,2
14657,30,1
14657,1,1
14657,18,2
14657,22,5
14657,32,1
14657,29,5
14657,22,2
14657,32,2
14664,9,4
14664,23,3
14664,28,4
14664,24,3
14664,22,3
14664,27,5
14664,25,4
14664,32,3
14664,16,3
14664,29,3
14664,5,4
14664,26,5
14664,10,5
14662,6,2
14662,25,4
14662,4,4
14662,19,3
14662,21,2
14662,5,4
14662,15,3
14662,9,4
14662,11,1
14662,10,3
14662,5,4
14662,26,3
14662,29,3
14662,10,3
14662,5,4
14662,26,3
14743,16,2
14743,3,4
14743,11,4
14743,24,3
14743,30,3
14743,17,5
14743,19,5
14743,4,5
14743,21,3
14743,5,5
14776,22,3
14776,29,5
14776,24,4
14776,24,5
14776,22,3
14776,29,4
14787,5,5
14787,3,4
14787,29,3
14652,20,1
14652,12,2
14652,18,1
14652,9,5
14652,10,1
14652,29,5
14652,24,1
14652,32,2
14652,19,3
14652,18,3
14652,5,5
14652,29,5
14739,24,2
14739,13,4
14739,25,3
14739,32,2
14739,22,3
14739,20,2
14739,7,3
14739,16,2
14739,8,5
14739,29,5
14739,18,3
14642,19,3
14642,20,2
14642,27,5
14642,25,5
14642,4,5
14642,23,4
14642,32,3
14642,13,4
14642,10,2
14642,5,5
14642,18,3
14659,15,5
14659,18,3
14659,5,5
14659,25,4
14659,4,4
14659,9,4
14659,22,2
14659,28,3
14659,32,2
14659,22,1
14659,5,3
14659,29,5
14763,17,4
14763,4,5
14763,3,3
14763,8,5
14763,7,5
14763,12,3
14763,25,5
14763,21,4
14763,25,4
14763,30,5
14763,29,3
14763,8,5
14763,26,5
14763,5,3
14763,22,5
14763,3,2
14763,6,5
14763,29,5
14763,18,5
14763,32,4
14685,8,2
14685,23,5
14685,30,4
14685,22,4
14685,25,3
14685,6,4
14685,4,1
14685,32,4
14685,5,2
14685,5,3
14692,4,4
14692,22,3
14692,5,5
14692,13,5
14692,29,3
14692,25,4
14692,4,4
14692,29,3
14692,13,5
14692,8,4
14692,15,5
14692,17,5
14692,22,3
14692,5,3
14692,29,5
14692,18,3
14692,5,4
14764,6,2
14764,17,5
14764,18,3
14764,27,5
14764,30,3
14764,7,4
14764,11,3
14764,19,5
14764,25,5
14764,18,3
14764,29,5
14764,32,4
14697,17,4
14697,4,5
14697,9,4
14697,28,5
14697,13,4
14697,5,2
14697,15,4
14697,29,4
14697,8,4
14697,6,2
14697,29,4
14649,21,4
14649,5,5
14649,6,4
14649,12,3
14649,19,4
14649,9,5
14649,11,2
14649,18,2
14649,20,2
14649,5,4
14649,29,5
14747,29,3
14747,18,3
14747,4,4
14747,24,3
14655,10,3
14655,11,3
14655,25,4
14655,2,3
14655,29,5
14655,19,4
14655,5,4
14655,31,2
14655,16,2
14655,22,2
14655,29,5
14655,32,3
14784,24,3
14784,10,2
14784,11,1
14784,22,2
14784,12,2
14784,9,4
14784,20,1
14784,28,3
14784,13,4
14784,5,3
14784,30,1
14688,8,4
14688,15,5
14688,5,4
14688,17,4
14688,28,4
14688,22,1
14688,4,5
14688,29,5
14688,9,4
14688,18,3
14688,15,3
14688,5,3
