index,user_id,size
0,14640,2
0,14639,2
2,14641,3
2,14642,3
2,14643,3
5,14644,4
5,14645,4
5,14646,4
5,14647,4
9,14648,5
9,14649,5
9,14650,5
9,14651,5
9,14652,5
14,14653,2
14,14654,2
16,14656,3
16,14657,3
16,14655,3
19,14658,4
19,14659,4
19,14660,4
19,14661,4
23,14662,5
23,14663,5
23,14664,5
23,14665,5
23,14666,5
28,14667,2
28,14668,2
30,14669,3
30,14670,3
30,14671,3
33,14672,4
33,14673,4
33,14674,4
33,14675,4
37,14676,5
37,14677,5
37,14678,5
37,14679,5
37,14680,5
42,14681,2
42,14682,2
44,14683,3
44,14684,3
44,14685,3
47,14688,4
47,14689,4
47,14686,4
47,14687,4
51,14690,5
51,14691,5
51,14692,5
51,14693,5
51,14694,5
56,14696,2
56,14695,2
58,14697,3
58,14698,3
58,14699,3
61,14700,4
61,14701,4
61,14702,4
61,14703,4
65,14704,5
65,14705,5
65,14706,5
65,14707,5
65,14708,5
70,14709,2
70,14710,2
72,14712,3
72,14713,3
72,14711,3
75,14714,4
75,14715,4
75,14716,4
75,14717,4
79,14720,5
79,14721,5
79,14722,5
79,14718,5
79,14719,5
84,14728,2
84,14729,2
86,14730,3
86,14731,3
86,14732,3
89,14736,4
89,14733,4
89,14734,4
89,14735,4
93,14737,5
93,14738,5
93,14739,5
93,14740,5
93,14741,5
98,14742,2
98,14743,2
100,14744,3
100,14745,3
100,14746,3
103,14747,4
103,14748,4
103,14749,4
103,14750,4
107,14752,5
107,14753,5
107,14754,5
107,14755,5
107,14751,5
112,14756,2
112,14757,2
114,14760,3
114,14758,3
114,14759,3
117,14761,4
117,14762,4
117,14763,4
117,14764,4
121,14765,5
121,14766,5
121,14767,5
121,14768,5
121,14769,5
126,14770,2
126,14771,2
128,14772,3
128,14773,3
128,14774,3
131,14776,4
131,14777,4
131,14778,4
131,14775,4
135,14779,5
135,14780,5
135,14781,5
135,14782,5
135,14783,5
140,14784,2
140,14785,2
142,14786,3
142,14787,3
142,14788,3
145,14792,4
145,14789,4
145,14790,4
145,14791,4
149,14793,5
149,14794,5
149,14795,5
149,14796,5
149,14797,5
154,14798,2
154,14799,2
156,14800,3
156,14801,3
156,14802,3
159,14803,4
159,14804,4
159,14805,4
159,14806,4
163,14807,5
163,14808,5
163,14809,5
163,14812,5
163,14814,5
168,14882,2
168,14869,2
170,14899,3
170,14884,3
170,14902,3
173,14905,4
173,14906,4
173,14907,4
173,14908,4
177,14889,3
177,14909,3
177,14911,3
180,14912,5
180,14930,5
180,14932,5
180,14933,5
180,14935,5
181,20734,2
181,20735,2
183,20736,2
183,20737,2
185,20738,2
185,20739,2
187,20769,2
187,20767,2
189,20770,2
189,20771,2
191,20788,2
191,20789,2
193,20797,2
193,20798,2
