,Unnamed: 0,user_id,group_id,rest_id,avialble_rest,sort_pop,sort_fit,sort_sim,fit_score,sim_score,c1_fit,c2_fit,c3_fit,c4_fit,c5_fit,fit_rank,sim_rank,pop_rank,tip,category,dish,price,time
0,0,14720,36877,18,-1,1,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,5,6,13,str,2023-06-15 23:39:58
1,1,14720,36883,29,0,0,0,1,3.5,0.2558177437641723,3.5,3.5,3.5,3.5,0.0,-1,26,-1,3,10,99,str,2023-06-15 23:47:13
2,2,14720,36888,29,-1,1,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,3,10,99,str,2023-06-16 00:01:42
3,3,14720,36951,18,1,0,1,0,5.0,0.2230665315771698,5.0,5.0,5.0,5.0,1.0,1,-1,-1,5,6,13,str,2023-06-16 11:12:18
4,4,14720,36951,29,0,0,1,0,3.5,0.2188409391534391,3.5,3.5,3.5,3.5,0.0,4,-1,-1,3,10,99,str,2023-06-16 11:12:25
5,5,14748,37199,28,-1,0,0,1,4.5,0.2903508771929824,4.5,4.5,4.5,4.5,-1.0,-1,2,-1,4,1,18,str,2023-06-16 15:41:53
6,6,14748,37199,4,-1,0,0,1,4.0,0.2740972222222222,4.0,4.0,4.0,4.0,-1.0,-1,4,-1,4,5,61,str,2023-06-16 15:42:12
7,7,14750,37221,18,-1,0,1,0,5.0,0.3015087040618955,5.0,5.0,5.0,1.0,-1.0,1,-1,-1,5,6,13,str,2023-06-16 22:30:37
8,8,14750,37221,30,-1,0,1,0,5.0,0.3905763517528223,5.0,5.0,5.0,1.0,-1.0,3,-1,-1,5,5,9,str,2023-06-16 22:30:40
9,9,14750,37221,29,-1,0,1,0,3.5,0.2374158249158249,3.5,3.5,3.5,0.0,-1.0,4,-1,-1,3,10,99,str,2023-06-16 22:30:48
10,10,14750,37221,24,-1,0,1,0,4.5,0.4848484848484848,4.5,4.5,4.5,0.0,-1.0,7,-1,-1,4,6,21,str,2023-06-16 22:30:52
11,11,14750,37221,2,-1,0,1,0,4.5,0.3951388888888889,4.5,4.5,4.5,0.0,-1.0,9,-1,-1,4,6,11,str,2023-06-16 22:30:57
12,12,14750,37221,7,-1,0,1,0,4.5,0.4222222222222222,4.5,4.5,4.5,0.0,-1.0,11,-1,-1,4,4,20,str,2023-06-16 22:31:09
