,user_id,group_id,rest_id,avialble_rest,sort_pop,sort_fit,sort_sim,fit_score,sim_score,c1_fit,c2_fit,c3_fit,c4_fit,c5_fit,fit_rank,sim_rank,pop_rank,tip,category,dish,price,time
0,14720,36877,18,-1,1,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1,-1,-1,2,5,0,13,str,2023-06-15 23:39:58
1,14720,36883,29,0,0,0,1,3.5,0.2556521124770383,3.5,3.5,3.5,3.5,0,-1,26,-1,3,1,99,str,2023-06-15 23:47:13
2,14720,36888,29,-1,1,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1,-1,-1,1,3,1,99,str,2023-06-16 00:01:42
3,14720,36951,18,1,0,1,0,5.0,0.22212133440947002,5.0,5.0,5.0,5.0,1,1,-1,-1,5,0,13,str,2023-06-16 11:12:18
4,14720,36951,29,0,0,1,0,3.5,0.21819155951203428,3.5,3.5,3.5,3.5,0,4,-1,-1,3,1,99,str,2023-06-16 11:12:25
5,14748,37199,28,-1,0,0,1,4.5,0.2967418546365915,4.5,4.5,4.5,0.0,-1,-1,2,-1,4,0,18,str,2023-06-16 15:41:53
6,14748,37199,4,-1,0,0,1,4.0,0.2671792328042328,4.0,4.0,4.0,0.0,-1,-1,4,-1,4,0,61,str,2023-06-16 15:42:12
7,14750,37221,18,-1,0,1,0,5.0,0.300231124807396,5.0,5.0,5.0,1.0,-1,1,-1,-1,5,0,13,str,2023-06-16 22:30:37
8,14750,37221,30,-1,0,1,0,5.0,0.38991073525957254,5.0,5.0,5.0,1.0,-1,3,-1,-1,5,0,9,str,2023-06-16 22:30:40
9,14750,37221,29,-1,0,1,0,3.5,0.23737074004136322,3.5,3.5,3.5,0.0,-1,4,-1,-1,3,1,99,str,2023-06-16 22:30:48
10,14750,37221,24,-1,0,1,0,4.5,0.4812091503267974,4.5,4.5,4.5,0.0,-1,7,-1,-1,4,0,21,str,2023-06-16 22:30:52
11,14750,37221,2,-1,0,1,0,4.5,0.39513888888888893,4.5,4.5,4.5,0.0,-1,9,-1,-1,4,0,11,str,2023-06-16 22:30:57
12,14750,37221,7,-1,0,1,0,4.5,0.4222222222222222,4.5,4.5,4.5,0.0,-1,11,-1,-1,4,0,20,str,2023-06-16 22:31:09
13,14750,37221,25,-1,0,1,0,4.0,0.3404938271604938,4.0,4.0,4.0,0.0,-1,15,-1,-1,4,0,32,str,2023-06-16 22:31:16
14,14750,39368,29,-1,1,0,0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,1,3,1,99,str,2023-06-20 12:25:58
15,14745,37229,32,-1,0,1,0,5.0,0.2694260728982951,5.0,5.0,1.0,-1.0,-1,2,-1,-1,5,0,16,str,2023-06-16 23:23:22
16,14745,37229,7,-1,0,1,0,4.5,0.31946031746031744,4.5,4.5,0.0,-1.0,-1,10,-1,-1,4,0,20,str,2023-06-16 23:23:29
17,14745,37229,16,-1,0,1,0,4.5,0.2901960784313726,4.5,4.5,0.0,-1.0,-1,12,-1,-1,4,0,11,str,2023-06-16 23:23:32
18,14745,37229,29,-1,0,1,0,3.5,0.15299561961283029,3.5,3.5,0.0,-1.0,-1,4,-1,-1,3,1,99,str,2023-06-16 23:23:59
19,14675,37245,29,-1,1,0,0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,1,3,1,99,str,2023-06-17 16:04:17
20,14675,37245,18,-1,1,0,0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,2,5,0,13,str,2023-06-17 16:04:18
21,14675,37245,5,-1,1,0,0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,3,4,0,30,str,2023-06-17 16:04:21
22,14801,37282,7,-1,0,1,0,4.5,0.4125610500610501,4.5,4.5,0.0,-1.0,-1,4,-1,-1,4,0,20,str,2023-06-18 11:21:12
23,14801,37282,32,-1,0,1,0,5.0,0.3485743680188125,5.0,5.0,1.0,-1.0,-1,2,-1,-1,5,0,16,str,2023-06-18 11:23:21
24,14801,37282,29,-1,0,1,0,3.5,0.2535608308605341,3.5,3.5,0.0,-1.0,-1,4,-1,-1,3,1,99,str,2023-06-18 11:23:42
