,user_id,for_user,limiting_member,CROSTACEI_E_MOLLUSCHI,FUNGHI,FORMAGGI,VERDURE,PESCE,RISO,PASTA,INTERIORA,LEGUMI,TORTELLINI,GNOCCHI,CARNE,PIZZA,SALUMI,revision_number,avialble_before,avialble_after,user_available_before,user_available_after,time
23,14661,17518,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,8.0,8.0,2023-06-19 15:16:32
117,14713,18794,bytearray(b'0'),0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,26,27,26.0,27.0,2023-06-20 11:33:23
223,14659,16051,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,8,24,7,7,,,
167,14706,17048,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,,,
88,14719,14719,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,7,-1.0,7.0,2023-06-19 12:00:40
116,14713,18794,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,27.0,27.0,2023-06-20 11:33:23
54,14693,17812,bytearray(b'0'),0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,17,18,17.0,17.0,2023-06-19 18:43:09
207,14708,16922,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,7,7,,,
56,14693,17811,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,22,22,22.0,22.0,2023-06-19 18:43:51
92,14719,16753,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-19 12:11:12
153,14738,19342,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,28,27.0,27.0,2023-06-20 16:39:51
139,14738,19309,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,27,-1.0,27.0,2023-06-20 16:26:12
208,14708,16923,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,,,
72,14710,14710,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,30,30.0,30.0,2023-06-16 13:23:24
173,14706,17051,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,,,
3,14720,14720,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,11,4.0,4.0,2023-06-16 11:08:47
197,14708,14708,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,27,30,,,
22,14661,17518,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,8.0,8.0,2023-06-19 15:16:13
107,14719,18264,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-20 00:20:11
200,14708,16922,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,7,-1,7,,,
57,14691,17993,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,4,-1.0,4.0,2023-06-19 21:33:32
219,14690,17430,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,7,-1,7,,,
45,14806,17591,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,24.0,24.0,2023-06-19 16:01:10
106,14719,18264,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-20 00:19:59
162,14911,16868,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,10,10,,,
65,14710,14710,bytearray(b'1'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,30,30.0,30.0,2023-06-16 13:22:50
169,14706,17050,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,,,
161,14911,16868,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,10,10,,,
112,14713,18793,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,24,26,24.0,26.0,2023-06-20 11:33:09
111,14719,18667,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,7,7.0,7.0,2023-06-20 09:49:20
217,14708,17148,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,,,
82,14662,18705,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,7.0,7.0,2023-06-20 10:30:08
28,14661,14661,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,4.0,11.0,2023-06-19 15:17:03
180,14717,17251,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,10,10,,,
230,14657,16046,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,,,
201,14708,16921,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,-1,7,,,
58,14691,17994,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,-1.0,6.0,2023-06-19 21:33:32
171,14706,17051,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,,,
209,14708,17041,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,31,24,-1,24,,,
