,user_id,for_user,CROSTACEI_E_MOLLUSCHI,FUNGHI,FORMAGGI,VERDURE,PESCE,RISO,PASTA,INTERIORA,LEGUMI,TORTELLINI,GNOCCHI,CARNE,PIZZA,SALUMI,avialble_before,avialble_after,user_available_before,user_available_after,time
56,14708,16872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,24,24,
156,14731,14731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,24,24,
330,14689,18568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,
26,14909,16605,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,
146,14731,16599,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,24,-1,24,
281,14658,19035,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,
235,14719,16855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,27,27,
22,14801,16495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,24,24,
122,14697,18116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,
328,14689,18567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,
124,14697,18117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,
11,14720,16110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,
299,14658,19068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,
254,14719,18279,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,10,7,10,
333,14689,18574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,
259,14899,19080,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,
8,14720,16106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,10,-1,10,
337,14649,16830,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,7,-1,7,
347,14669,20058,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,
320,14716,17003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,26,22,26,
162,14731,14731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,7,
289,14658,19068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,-1,
168,14731,14731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,-1,27,
342,14649,19048,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,
117,14657,17762,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,8,-1,8,
68,14708,16869,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,
24,14909,16604,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,
106,14657,16046,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,24,24,24,
169,14731,16599,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,
348,14669,20058,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,27,
184,14719,16656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,25,
41,14911,16868,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,27,10,10,
258,14899,19080,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,
346,14669,20057,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,
237,14719,16901,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,7,7,
102,14659,17576,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,24,8,24,
142,14731,16598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,7,24,
293,14658,19068,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,-1,4,
12,14720,16110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,
200,14719,16658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,18,18,
214,14719,16753,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,7,7,
66,14708,16870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,24,24,
77,14708,16923,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,7,7,
49,14706,17051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,
187,14719,16656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,25,25,
161,14731,16599,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,24,-1,24,
181,14666,18715,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,-1,7,
248,14719,18261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,7,7,
45,14706,17050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,
131,14639,18200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,24,-1,24,
53,14717,17231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,
262,14899,19081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,
228,14719,14719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,10,29,
92,14708,17148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,
75,14708,16922,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,7,-1,7,
250,14719,18263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,7,7,
295,14658,19068,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,8,8,8,
73,14708,14708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,
145,14731,16599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,
190,14719,16656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,
3,14720,16017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,7,-1,7,
