,Unnamed: 0,user_id,group_id,rest_id,avialble_rest,sort_pop,sort_fit,sort_sim,fit_score,sim_score,c1_fit,c2_fit,c3_fit,c4_fit,c5_fit,fit_rank,sim_rank,pop_rank,tip,category,dish,price,time
0,0,14720,36883,29,7,0,0,1,3.5,0.2558177437641723,3.5,3.5,3.5,3.5,0,-1,26,-1,3,10,99,str,2023-06-15 23:47:20
1,1,14720,36883,1,7,0,0,1,1.0,0.3789115646258503,4.0,0.0,0.0,0.0,0,-1,1,-1,4,4,6,str,2023-06-15 23:49:58
2,2,14720,36951,18,24,0,1,0,5.0,0.2230665315771698,5.0,5.0,5.0,5.0,1,1,-1,-1,5,6,13,str,2023-06-16 11:12:05
3,3,14748,37199,29,11,0,0,1,3.5,0.2076091564222127,3.5,3.5,3.5,3.5,-1,-1,1,-1,3,10,99,str,2023-06-16 15:40:56
4,4,14748,37199,28,11,0,0,1,4.5,0.2903508771929824,4.5,4.5,4.5,4.5,-1,-1,2,-1,4,1,18,str,2023-06-16 15:41:36
5,5,14750,39377,5,0,1,0,0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,2,4,8,30,str,2023-06-20 12:28:09
6,6,14801,37282,18,24,0,1,0,5.0,0.2964403416733925,5.0,5.0,1.0,-1.0,-1,1,-1,-1,5,6,13,str,2023-06-18 11:20:32
7,7,14801,37282,30,24,0,1,0,5.0,0.3866555924695459,5.0,5.0,1.0,-1.0,-1,2,-1,-1,5,5,9,str,2023-06-18 11:20:43
8,8,14801,37282,26,24,0,1,0,4.5,0.3847538532321141,4.5,4.5,0.0,-1.0,-1,3,-1,-1,4,6,23,str,2023-06-18 11:20:50
9,9,14801,37282,7,24,0,1,0,4.5,0.4125610500610501,4.5,4.5,0.0,-1.0,-1,4,-1,-1,4,4,20,str,2023-06-18 11:21:07
10,10,14801,37282,18,24,0,1,0,5.0,0.2964403416733925,5.0,5.0,1.0,-1.0,-1,1,-1,-1,5,6,13,str,2023-06-18 11:21:50
11,11,14801,37282,30,24,0,1,0,5.0,0.3866555924695459,5.0,5.0,1.0,-1.0,-1,2,-1,-1,5,5,9,str,2023-06-18 11:22:23
12,12,14801,37282,10,24,0,1,0,4.5,0.3786131996658312,4.5,4.5,0.0,-1.0,-1,5,-1,-1,4,4,11,str,2023-06-18 11:22:33
13,13,14801,37282,32,24,0,1,0,5.0,0.3485743680188125,5.0,5.0,1.0,-1.0,-1,2,-1,-1,5,5,16,str,2023-06-18 11:23:11
14,14,14801,37282,29,24,0,1,0,3.5,0.2538194444444444,3.5,3.5,0.0,-1.0,-1,4,-1,-1,3,10,99,str,2023-06-18 11:23:34
15,15,14801,37282,22,24,0,1,0,4.5,0.3856990231990232,4.5,4.5,0.0,-1.0,-1,5,-1,-1,4,7,18,str,2023-06-18 11:23:50
16,16,14801,37282,5,24,0,1,0,4.0,0.3126860119047618,4.0,4.0,0.0,-1.0,-1,15,-1,-1,4,8,30,str,2023-06-18 11:24:18
17,17,14801,37282,6,24,0,1,0,4.0,0.3679089026915114,4.0,4.0,0.0,-1.0,-1,19,-1,-1,4,5,13,str,2023-06-18 11:24:45
18,18,14671,37284,18,27,0,1,0,5.0,0.164275625504439,5.0,5.0,1.0,-1.0,-1,1,-1,-1,5,6,13,str,2023-06-18 11:32:23
19,19,14671,37284,32,27,0,1,0,5.0,0.1956858890345129,5.0,5.0,1.0,-1.0,-1,2,-1,-1,5,5,16,str,2023-06-18 11:33:47
20,20,14671,37284,30,27,0,1,0,5.0,0.176610372831303,5.0,5.0,1.0,-1.0,-1,3,-1,-1,5,5,9,str,2023-06-18 11:33:59
21,21,14671,37284,22,27,0,1,0,4.5,0.1706349206349206,4.5,4.5,0.0,-1.0,-1,5,-1,-1,4,7,18,str,2023-06-18 11:34:10
22,22,14671,37284,16,27,0,1,0,4.5,0.2125661375661375,4.5,4.5,0.0,-1.0,-1,12,-1,-1,4,4,11,str,2023-06-18 11:34:26
23,23,14671,37284,5,27,0,1,0,4.0,0.1456333705357143,4.0,4.0,0.0,-1.0,-1,15,-1,-1,4,8,30,str,2023-06-18 11:34:38
24,24,14671,37284,27,27,0,1,0,3.5,0.1429232804232804,3.5,3.5,0.0,-1.0,-1,24,-1,-1,3,8,111,str,2023-06-18 11:34:58
25,25,14671,37284,2,27,0,1,0,4.5,0.1849206349206349,4.5,4.5,0.0,-1.0,-1,8,-1,-1,4,6,11,str,2023-06-18 11:35:46
26,26,14671,37284,24,27,0,1,0,4.5,0.2655946458185264,4.5,4.5,0.0,-1.0,-1,6,-1,-1,4,6,21,str,2023-06-18 11:36:05
27,27,14671,37284,26,27,0,1,0,4.5,0.2710084033613445,4.5,4.5,0.0,-1.0,-1,7,-1,-1,4,6,23,str,2023-06-18 11:36:19
28,28,14660,37315,18,27,0,1,0,5.0,0.2883029381965552,5.0,5.0,5.0,-1.0,-1,1,-1,-1,5,6,13,str,2023-06-18 20:49:20
