,basket,next_product,proba
0,"{'LEGUMI', 'PESCE'}",{'VERDURE'},1.0
4495,"{'VERDURE', 'LEGUMI', 'GNOCCHI', 'RISO'}","{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI'}",1.0
7347,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI', 'PIZZA'}","{'TORTELLINI', 'RISO'}",1.0
9648,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'RISO'}","{'GNOCCHI', 'PASTA'}",1.0
7348,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI', 'RISO'}","{'TORTELLINI', 'PIZZA'}",1.0
4502,"{'CARNE', 'TORTELLINI', 'LEGUMI', 'RISO'}","{'VERDURE', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}",1.0
4501,"{'TORTELLINI', 'LEGUMI', 'VERDURE', 'RISO'}","{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}",1.0
4500,"{'CARNE', 'LEGUMI', 'VERDURE', 'RISO'}","{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}",1.0
9651,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}",{'PASTA'},1.0
4498,"{'TORTELLINI', 'LEGUMI', 'GNOCCHI', 'RISO'}","{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'VERDURE'}",1.0
4497,"{'CARNE', 'LEGUMI', 'GNOCCHI', 'RISO'}","{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'VERDURE'}",1.0
7349,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'PIZZA'}","{'GNOCCHI', 'RISO'}",1.0
7350,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'RISO'}","{'PIZZA', 'GNOCCHI'}",1.0
4482,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'RISO'}","{'CARNE', 'VERDURE', 'GNOCCHI'}",1.0
7351,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'RISO', 'PIZZA'}","{'TORTELLINI', 'GNOCCHI'}",1.0
4492,"{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'RISO'}","{'VERDURE', 'LEGUMI', 'GNOCCHI'}",1.0
4491,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'VERDURE', 'RISO'}","{'CARNE', 'LEGUMI', 'GNOCCHI'}",1.0
4490,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'VERDURE', 'RISO'}","{'TORTELLINI', 'LEGUMI', 'GNOCCHI'}",1.0
4489,"{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'VERDURE'}","{'LEGUMI', 'GNOCCHI', 'RISO'}",1.0
4488,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'CARNE', 'LEGUMI', 'VERDURE'}",1.0
4487,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'TORTELLINI', 'LEGUMI', 'VERDURE'}",1.0
4486,"{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}","{'LEGUMI', 'VERDURE', 'RISO'}",1.0
4485,"{'VERDURE', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'CARNE', 'TORTELLINI', 'LEGUMI'}",1.0
4484,"{'TORTELLINI', 'VERDURE', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}","{'CARNE', 'LEGUMI', 'RISO'}",1.0
7346,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI'}","{'PIZZA', 'RISO'}",1.0
4508,"{'VERDURE', 'GNOCCHI', 'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'TORTELLINI', 'RISO'}",1.0
4509,"{'VERDURE', 'GNOCCHI', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'CARNE', 'RISO'}",1.0
4510,"{'VERDURE', 'GNOCCHI', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'CARNE', 'TORTELLINI'}",1.0
4531,"{'VERDURE', 'GNOCCHI', 'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}",{'CARNE'},1.0
4530,"{'VERDURE', 'GNOCCHI', 'CARNE', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}",{'TORTELLINI'},1.0
4529,"{'VERDURE', 'GNOCCHI', 'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}",{'RISO'},1.0
8489,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'PIZZA', 'GNOCCHI'}","{'LEGUMI', 'PASTA', 'RISO'}",1.0
4527,"{'VERDURE', 'CARNE', 'TORTELLINI', 'RISO', 'LEGUMI'}","{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}",1.0
4526,"{'GNOCCHI', 'CARNE', 'TORTELLINI', 'RISO', 'LEGUMI'}","{'CROSTACEI_E_MOLLUSCHI', 'VERDURE'}",1.0
4525,"{'VERDURE', 'GNOCCHI', 'TORTELLINI', 'RISO', 'LEGUMI'}","{'CARNE', 'CROSTACEI_E_MOLLUSCHI'}",1.0
4524,"{'VERDURE', 'GNOCCHI', 'CARNE', 'RISO', 'LEGUMI'}","{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI'}",1.0
8488,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO', 'PASTA'}","{'TORTELLINI', 'LEGUMI', 'PIZZA'}",1.0
